product_id,customer_id,customer_name,rating,title,content,thank_count,created_at
124696320,16822659,Trịnh Phước Lộc,4,Hài lòng,,0,1645108643
124696320,10125738,Tùng Bách,5,Cực kì hài lòng,rất hài lòng,0,1638257930
124696320,17747917,Nguyễn Thị Phương,5,Cực kì hài lòng,,0,1640773084
124696320,1284328,Nguyễn Thị Thu Sương,5,Cực kì hài lòng,,0,1639663742
197144668,5931372,Lê Văn Dũng,4,Hài lòng,"Đẹp, chén hơi to, phù hợp với ai thích loại chén to",0,1675748611
172068617,22681000,nguyen vo,5,Cực kì hài lòng,,0,1667001877
172068617,7454393,Lê Thiện Thanh,5,Cực kì hài lòng,Ok,0,1653985612
174895843,22736148,Minh Chau,5,Cực kì hài lòng,"Mình siêu đẹp và chắc chắn lắm ạ, mình mua cho nhà mình ai cũng thích lắm, mn nên mua ạ. Hình này mình lấy tạm tại ấm đang được xài ùi😂",0,1669553549
174895843,2107212,Nguyễn Mậu Tân,5,Cực kì hài lòng,Gói hàng uy tín !,0,1675244531
174896749,5643705,Lê Thị Thảo,5,Cực kì hài lòng,"Ấm này xài đúng ngon, tiền nào của đấy, khác hẳn loại 2-300k😂. Thiết kế nhấn mở nắp tiện cho việc mở và lúc lấy nước nắp k tự đóng, mấy loại rẻ tiền phải giữ nắp khi châm nước. 
�Miệng rót nước tập trung k bị chảy toè ra. Màu trắng nhưng nhìn tinh tế cực. 
Âm thanh cực kì trầm, k bị ồn. 
Thời gian đun sôi hơn 1,7l là 5 phút. 
Vỏ nhựa hạn chế phỏng tay.
Tay cầm k bị gồng. Xưa mua loại rẻ nhìn thiết kế tay cầm giồng vầy nhưng khi châm nước cầm mỏi tay. Còn loại này thì không nhé. Sp đc đầu tư thiết kế nó khác thực sự
Đặc biệt là k bị rò nước.
Giao hàng nhanh
Thanks shop và Tiki",0,1664462534
174896749,22493602,Jam Jam,4,Hài lòng,"Sản phẩm bên trong  bằng nhựa,khá là tiếc biết vậy đặt inox, chỉ có thương hiệu là mình tin tưởng chứ bằng nhựa mà nấu trực tiếp như vậy khá là sợ bệnh về sau luôn á..",0,1707420581
183230534,30440752,Khanh Kim,5,Cực kì hài lòng,,0,1761893666
183230534,10338912,Nguyễn Kim Hiền,5,Cực kì hài lòng,,0,1718532054
110924561,22583891,Minh Tu,5,Cực kì hài lòng,,0,1642608795
17594737,12115891,Phan Hồng Hải,1,Rất không hài lòng,Giao hàng chậm tới 2 ngày ko có thông báo gì,0,1610690054
17594737,19034903,Lam Ngọc,4,Hài lòng,,0,1612595818
55496402,8479125,Linh Linh,3,Bình thường,Vừa rửa xong thò khăn lau ly bể đôi. Buồn hết sức. Chưa hề ráo nước luôn đúng đưa cáo khăn vào la bể,2,1642248502
55496402,21984347,Huy Thiem Hoang,4,Hài lòng,nhìn chung ok! chưa được 5 sao bởi ấm có nỗi bởi những chấm nhỏ.,0,1623384985
55496402,21749947,truong tam,5,Cực kì hài lòng,giá hợp lý,0,1659153128
55496402,9622462,Tú Ân,4,Hài lòng,,0,1643206187
55496402,12036673,Nhật Thiện,5,Cực kì hài lòng,Chất lượng sản phẩm tốt đóng gói chắc chắn,0,1609654146
55496402,14395615,le kim loc,4,Hài lòng,"sản phẩm đẹp, bên ngoài nhìn đẹp hơn hình. cảm ơn shop.",0,1611112722
55496402,11505869,Trần Phương Thảo,2,Không hài lòng,Hàng đưa không đúng trong ảnh. Hoa văn khác hẳn,2,1613712342
55496402,12861047,Quỳnh Nga,4,Hài lòng,Đẹp lắm cảm ơn tiki,0,1621146608
